original_event_year,case_model,original_amount_count,original_amount_median,recorded_only_supplement_count,recorded_only_supplement_median,supplemented_count,supplemented_median,supplemented_median_change_pct
1994,criminal,0,,0,,0,,
1994,family_domestic_violence,0,,0,,0,,
1994,family_multi_order,1,13834.00,0,,1,13834.00,0.0
1994,probate,0,,0,,0,,
1994,small_claims,4996,1099.18,111,779.00,5107,1093.00,-0.56
1994,unknown,0,,0,,0,,
1994,unlawful_detainer,1110,1897.56,233,2530.00,1343,1964.00,3.5
1994,writ_or_mandate,0,,1,400156.72,1,400156.72,
1995,all,8019,1788.34,996,3474.27,9015,1938.42,8.39
1995,appellate_review,0,,0,,0,,
1995,civil_general,2813,3164.50,621,4750.50,3434,3499.70,10.59
1995,criminal,0,,0,,0,,
1995,family_domestic_violence,0,,0,,0,,
1995,family_multi_order,1,3528.00,0,,1,3528.00,0.0
1995,probate,0,,0,,0,,
1995,small_claims,4141,1221.01,92,995.65,4233,1217.58,-0.28
1995,unknown,0,,0,,0,,
1995,unlawful_detainer,1064,1748.28,283,2507.94,1347,1935.00,10.68
1995,writ_or_mandate,0,,0,,0,,
1996,all,7512,1819.27,1062,4004.03,8574,2014.17,10.71
1996,appellate_review,0,,0,,0,,
1996,civil_general,2749,3372.25,768,5246.97,3517,3721.93,10.37
1996,criminal,0,,0,,0,,
1996,family_domestic_violence,0,,0,,0,,
1996,family_multi_order,0,,0,,0,,
1996,probate,0,,0,,0,,
1996,small_claims,3867,1135.00,75,1031.00,3942,1131.24,-0.33
1996,unknown,0,,0,,0,,
1996,unlawful_detainer,896,1956.16,219,2517.54,1115,2078.16,6.24
1996,writ_or_mandate,0,,0,,0,,
1997,all,6946,1765.00,1038,3869.10,7984,2000.00,13.31
1997,appellate_review,0,,0,,0,,
1997,civil_general,2372,3839.79,724,4752.05,3096,4087.49,6.45
1997,criminal,0,,0,,0,,
1997,family_domestic_violence,0,,0,,0,,
1997,family_multi_order,1,500.00,0,,1,500.00,0.0
1997,probate,0,,0,,0,,
1997,small_claims,3705,1189.82,60,1082.50,3765,1188.50,-0.11
1997,unlawful_detainer,868,1753.65,252,2833.13,1120,1961.14,11.83
1997,writ_or_mandate,0,,2,194060.34,2,194060.34,
1998,all,5868,2000.00,1153,4488.18,7021,2255.00,12.75
1998,appellate_review,0,,0,,0,,
1998,civil_general,2086,3840.75,898,5351.17,2984,4345.51,13.14
1998,criminal,0,,0,,0,,
1998,family_domestic_violence,0,,0,,0,,
1998,family_multi_order,0,,0,,0,,
1998,probate,0,,0,,0,,
1998,small_claims,2996,1315.78,77,1520.00,3073,1322.00,0.47
1998,unknown,0,,0,,0,,
1998,unlawful_detainer,786,1971.97,177,2643.87,963,2065.00,4.72
1998,writ_or_mandate,0,,1,174673.32,1,174673.32,
1999,all,5161,2199.00,1255,4596.71,6416,2560.00,16.42
1999,appellate_review,0,,0,,0,,
1999,civil_general,1857,4359.60,1078,5111.81,2935,4596.71,5.44
1999,criminal,0,,0,,0,,
1999,family_domestic_violence,0,,0,,0,,
1999,family_multi_order,0,,0,,0,,
1999,probate,0,,1,2618586.18,1,2618586.18,
1999,small_claims,2735,1388.45,38,1006.61,2773,1378.11,-0.74
1999,unknown,1,7900.00,0,,1,7900.00,0.0
1999,unlawful_detainer,568,2062.27,136,3000.00,704,2250.14,9.11
1999,writ_or_mandate,0,,2,64755.11,2,64755.11,
2000,all,4633,2320.82,1518,4654.53,6151,2815.34,21.31
2000,appellate_review,0,,0,,0,,
2000,civil_general,1767,3829.89,1323,5128.10,3090,4350.43,13.59
2000,criminal,0,,0,,0,,
2000,family_domestic_violence,0,,0,,0,,
2000,family_multi_order,0,,0,,0,,
2000,probate,0,,0,,0,,
2000,small_claims,2401,1551.98,51,1120.00,2452,1548.00,-0.26
2000,unlawful_detainer,465,2223.00,143,2876.50,608,2377.60,6.95
2000,writ_or_mandate,0,,1,10020.50,1,10020.50,
2001,all,5180,2228.27,1517,5838.69,6697,2730.50,22.54
2001,appellate_review,0,,0,,0,,
2001,civil_general,1909,3493.00,1306,6342.93,3215,4650.30,33.13
2001,criminal,0,,0,,0,,
2001,family_domestic_violence,0,,0,,0,,
2001,family_multi_order,1,4620.00,0,,1,4620.00,0.0
2001,probate,0,,0,,0,,
2001,small_claims,2560,1762.12,59,1627.00,2619,1751.57,-0.6
2001,unknown,0,,1,8500.00,1,8500.00,
2001,unlawful_detainer,399,2496.18,147,3853.49,546,2703.45,8.3
2001,writ_or_mandate,311,1382.98,4,146779.04,315,1384.36,0.1
2002,all,5809,2281.57,2147,6049.40,7956,3030.75,32.84
2002,appellate_review,0,,0,,0,,
2002,civil_general,1435,14400.00,1910,6670.72,3345,8677.17,-39.74
2002,criminal,0,,0,,0,,
2002,family_domestic_violence,0,,0,,0,,
2002,family_multi_order,0,,0,,0,,
2002,probate,0,,0,,0,,
2002,small_claims,2695,1502.00,71,1056.00,2766,1496.31,-0.38
2002,unknown,0,,0,,0,,
2002,unlawful_detainer,422,2524.50,162,3413.02,584,2668.34,5.7
2002,writ_or_mandate,1257,1654.80,4,144257.74,1261,1674.83,1.21
2003,all,4808,2077.42,2433,5175.30,7241,2828.00,36.13
2003,appellate_review,0,,0,,0,,
2003,civil_general,766,10879.46,2144,5764.06,2910,6609.66,-39.25
2003,criminal,0,,0,,0,,
2003,family_domestic_violence,0,,0,,0,,
2003,family_multi_order,0,,0,,0,,
2003,probate,0,,0,,0,,
2003,small_claims,2589,1562.37,81,1572.00,2670,1564.25,0.12
2003,unlawful_detainer,381,2880.00,203,3200.00,584,2987.65,3.74
2003,writ_or_mandate,1072,1628.73,5,15728.97,1077,1682.28,3.29
2004,all,3777,2374.50,2824,5770.56,6601,3589.55,51.17
2004,appellate_review,0,,0,,0,,
2004,civil_general,646,10509.22,2503,6329.91,3149,6926.40,-34.09
2004,criminal,0,,0,,0,,
2004,family_domestic_violence,0,,0,,0,,
2004,family_multi_order,0,,0,,0,,
2004,probate,0,,2,733846.44,2,733846.44,
2004,small_claims,2347,1452.00,83,1432.00,2430,1450.50,-0.1
2004,unlawful_detainer,359,2832.66,232,3117.03,591,2859.00,0.93
2004,writ_or_mandate,425,9602.60,4,18691.03,429,9642.72,0.42
2005,all,3227,2252.17,2996,5863.32,6223,3740.00,66.06
2005,appellate_review,0,,0,,0,,
2005,civil_general,433,10702.74,2670,6375.41,3103,6783.53,-36.62
2005,criminal,0,,0,,0,,
2005,family_domestic_violence,0,,0,,0,,
2005,family_multi_order,0,,0,,0,,
2005,probate,1,1050070.00,0,,1,1050070.00,0.0
2005,small_claims,2088,1510.00,110,1579.43,2198,1520.02,0.66
2005,unlawful_detainer,287,2630.30,212,3466.23,499,2885.00,9.68
2005,writ_or_mandate,418,7810.53,4,895373.77,422,7890.26,1.02
2006,all,3245,2969.53,3236,6060.18,6481,4330.42,45.83
2006,appellate_review,0,,0,,0,,
2006,civil_general,737,8538.98,3005,6504.60,3742,6828.88,-20.03
2006,criminal,0,,0,,0,,
2006,family_domestic_violence,0,,0,,0,,
2006,family_multi_order,0,,0,,0,,
2006,probate,0,,0,,0,,
2006,small_claims,1876,1770.22,62,2528.70,1938,1782.36,0.69
2006,unlawful_detainer,260,3025.31,164,3163.00,424,3034.96,0.32
2006,writ_or_mandate,372,6859.03,5,12340.67,377,6919.81,0.89
2007,all,3065,2753.00,3454,5774.54,6519,4192.28,52.28
2007,civil_general,561,9692.42,3245,5977.97,3806,6430.32,-33.66
2007,criminal,0,,0,,0,,
2007,family_domestic_violence,0,,0,,0,,
2007,family_multi_order,0,,0,,0,,
2007,probate,2,2250512.51,0,,2,2250512.51,0.0
2007,small_claims,1847,1732.79,38,1056.44,1885,1718.64,-0.82
2007,unlawful_detainer,248,2972.73,170,4097.36,418,3350.69,12.71
2007,writ_or_mandate,407,7215.62,1,11775.45,408,7226.76,0.15
2008,all,2898,3164.78,4086,5907.03,6984,4725.73,49.32
2008,civil_general,504,8812.60,3752,6243.13,4256,6547.30,-25.71
2008,criminal,0,,0,,0,,
2008,family_domestic_violence,0,,0,,0,,
2008,family_multi_order,0,,0,,0,,
2008,probate,1,1340000.00,0,,1,1340000.00,0.0
2008,small_claims,1469,1878.00,127,2000.00,1596,1889.67,0.62
2008,unlawful_detainer,279,2911.52,200,3585.52,479,3156.00,8.4
2008,writ_or_mandate,645,8616.68,7,9348.00,652,8622.22,0.06
2009,all,2759,3180.00,3769,6136.24,6528,4771.84,50.06
2009,civil_general,487,10000.00,3500,6459.55,3987,6820.46,-31.8
2009,criminal,0,,0,,0,,
2009,family_domestic_violence,0,,0,,0,,
2009,family_multi_order,0,,0,,0,,
2009,probate,1,110000.00,0,,1,110000.00,0.0
2009,small_claims,1657,2012.40,141,2075.00,1798,2018.85,0.32
2009,unknown,0,,0,,0,,
2009,unlawful_detainer,169,3250.71,123,5000.00,292,4016.75,23.57
2009,writ_or_mandate,445,9095.35,5,28000.00,450,9184.82,0.98
2010,all,2734,3363.60,2965,7663.07,5699,5162.75,53.49
2010,civil_general,546,9020.88,2684,8382.99,3230,8468.63,-6.12
2010,criminal,0,,0,,0,,
2010,family_domestic_violence,0,,0,,0,,
2010,family_multi_order,0,,0,,0,,
2010,probate,1,65000.00,0,,1,65000.00,0.0
2010,small_claims,1588,1879.87,160,2883.50,1748,2000.00,6.39
2010,unlawful_detainer,173,3449.00,119,4625.00,292,3869.45,12.19
2010,writ_or_mandate,426,8380.10,2,2553632.94,428,8437.18,0.68
2011,all,2767,4424.72,2013,7491.50,4780,5359.88,21.13
2011,civil_general,860,7575.93,1784,8257.23,2644,8121.17,7.2
2011,criminal,0,,0,,0,,
2011,family_domestic_violence,0,,0,,0,,
2011,family_multi_order,0,,0,,0,,
2011,probate,0,,0,,0,,
2011,small_claims,1300,2249.59,134,2279.20,1434,2250.79,0.05
2011,unlawful_detainer,144,3410.00,91,4379.18,235,3892.59,14.15
2011,writ_or_mandate,463,8329.80,4,475123.00,467,8394.27,0.77
2012,all,2314,3840.07,2184,7801.37,4498,5634.36,46.73
2012,civil_general,550,7870.04,2013,8257.82,2563,8206.40,4.27
2012,criminal,0,,0,,0,,
2012,family_domestic_violence,0,,0,,0,,
2012,family_multi_order,0,,0,,0,,
2012,probate,0,,0,,0,,
2012,small_claims,1201,2180.00,84,1616.89,1285,2150.95,-1.33
2012,unlawful_detainer,118,2945.50,82,4941.53,200,3744.51,27.13
2012,writ_or_mandate,445,10000.00,5,340072.00,450,10049.64,0.5
2013,all,2301,4106.00,2469,7324.01,4770,5381.52,31.06
2013,civil_general,706,7112.69,2290,7816.23,2996,7588.88,6.69
2013,criminal,0,,0,,0,,
2013,family_domestic_violence,0,,0,,0,,
2013,family_multi_order,0,,0,,0,,
2013,probate,1,553074.67,0,,1,553074.67,0.0
2013,small_claims,1174,2395.76,114,2140.00,1288,2387.60,-0.34
2013,unlawful_detainer,73,2990.00,59,4983.71,132,3569.37,19.38
2013,writ_or_mandate,347,10827.92,6,48596.81,353,10827.92,0.0
2014,all,1812,3423.38,1538,6773.83,3350,4993.54,45.87
2014,civil_general,368,7357.49,1409,6967.59,1777,7048.99,-4.19
2014,criminal,0,,0,,0,,
2014,family_domestic_violence,0,,0,,0,,
2014,family_multi_order,0,,0,,0,,
2014,probate,0,,0,,0,,
2014,small_claims,1076,2500.00,74,2491.48,1150,2500.00,0.0
2014,unlawful_detainer,76,2479.86,48,4249.75,124,3038.19,22.51
2014,writ_or_mandate,292,12478.01,7,79041.21,299,13007.68,4.24
